"scenario","Name","Type","run_count","100%","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","Average Content Size","Average Response Time","Failure Count","Failures/s","Max Response Time","Median Response Time","Min Response Time","Request Count","Requests/s"
"mixed_large_10","Aggregated","","3","9866.66666666667","2100","4200","6033.33333333333","6166.66666666667","6400","6666.66666666667","7433.33333333333","9066.66666666667","9866.66666666667","9866.66666666667","1068.87534171207","3087.76179488828","0","0","9972.75776667326","2100","725.813299989871","408.333333333333","2.15253039405214"
"mixed_large_10","DELETE /user/[email] [cleanup]","DELETE","3","9866.66666666667","9233.33333333333","9433.33333333333","9533.33333333333","9566.66666666667","9866.66666666667","9866.66666666667","9866.66666666667","9866.66666666667","9866.66666666667","9866.66666666667","65","8876.77203200808","0","0","9972.75776667326","9100","7313.33419999767","7.33333333333333","0.038664200776422"
"mixed_large_10","GET /user/[email]","GET","3","1366.66666666667","843.333333333333","870","893.333333333333","906.666666666667","943.333333333333","1020","1100","1133.33333333333","1366.66666666667","1366.66666666667","1667.9218690141","856.56553351097","0","0","1355.47713333896","843.333333333333","725.813299989871","131.666666666667","0.694164775830543"
"mixed_large_10","POST /auth/login","POST","3","1366.66666666667","1000","1000","1066.66666666667","1100","1100","1133.33333333333","1200","1366.66666666667","1366.66666666667","1366.66666666667","56","1019.53230742636","0","0","1365.40276666832","1000","903.672066672395","71.3333333333333","0.376011645955696"
"mixed_large_10","POST /auth/signup [setup]","POST","3","4600","4133.33333333333","4200","4300","4433.33333333333","4600","4600","4600","4600","4600","4600","65","4028.04366333488","0","0","4592.0271333307","3966.66666666667","3407.08926666412","10","0.052712916818168"
"mixed_large_10","POST /user/[email]/description","POST","3","3766.66666666667","2833.33333333333","2933.33333333333","2933.33333333333","3066.66666666667","3200","3466.66666666667","3766.66666666667","3766.66666666667","3766.66666666667","3766.66666666667","1129","2855.804570212","0","0","3768.09166666741","2833.33333333333","2375.21713333748","56","0.2951935256249"
"mixed_large_10","POST /user/[email]/profile-photo","POST","3","7833.33333333333","6233.33333333333","6333.33333333333","6400","6466.66666666667","6666.66666666667","6933.33333333333","7300","7466.66666666667","7833.33333333333","7833.33333333333","1126.07586782861","6125.80907799279","0","0","7812.90156666849","6233.33333333333","3968.83209999457","132","0.695783329046414"
"mixed_large_15","Aggregated","","3","15333.3333333333","2300","5600","6666.66666666667","6966.66666666667","7700","8766.66666666667","9766.66666666667","12333.3333333333","15333.3333333333","15333.3333333333","1070.44568199148","3691.60742787776","0","0","15102.73340001","2300","730.20789999282","539.333333333333","2.76847898744046"
"mixed_large_15","DELETE /user/[email] [cleanup]","DELETE","3","15333.3333333333","13333.3333333333","14000","14000","14666.6666666667","15333.3333333333","15333.3333333333","15333.3333333333","15333.3333333333","15333.3333333333","15333.3333333333","65","13164.7513731491","0","0","15102.73340001","13333.3333333333","11526.348533332","8.66666666666667","0.044493315412506"
"mixed_large_15","GET /user/[email]","GET","3","1300","903.333333333333","946.666666666667","966.666666666667","990","1000","1100","1166.66666666667","1200","1300","1300","1668.21054954976","917.737360441547","0","0","1282.70966665392","903.333333333333","730.20789999282","170.333333333333","0.874024370891869"
