Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777009951,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777009954,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777009955,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777009956,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777009957,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777009958,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777009959,15,POST,POST /auth/signup [setup],0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,5149.577999996836,5663.3881500019925,5149.577999996836,6177.198300007149,65.0
1777009959,15,,Aggregated,0.000000,0.000000,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,2,0,5149.577999996836,5663.3881500019925,5149.577999996836,6177.198300007149,65.0
1777009960,15,GET,GET /user/[email],0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,1033.3466000010958,1033.3466000010958,1033.3466000010958,1033.3466000010958,148.0
1777009960,15,POST,POST /auth/login,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,1199.5197999931406,1199.5197999931406,1199.5197999931406,1199.5197999931406,56.0
1777009960,15,POST,POST /auth/signup [setup],0.000000,0.000000,5800,5900,6300,6300,6500,6900,6900,6900,6900,6900,6900,14,0,5300,5622.254342857299,4542.36919998948,6878.370899998117,65.0
1777009960,15,,Aggregated,0.000000,0.000000,5300,5900,6200,6200,6500,6900,6900,6900,6900,6900,6900,16,0,5200,5059.026699999777,1033.3466000010958,6878.370899998117,69.625
1777009961,15,GET,GET /user/[email],0.000000,0.000000,1000,1100,1100,1200,1200,1200,1200,1200,1200,1200,1200,6,0,1000,999.3483833338056,740.85180000111,1208.8517999945907,148.0
1777009961,15,POST,POST /auth/login,0.000000,0.000000,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,5,0,1200,1182.5014200003352,1024.9923000083072,1229.8219999938738,56.0
1777009961,15,POST,POST /auth/signup [setup],0.000000,0.000000,5800,6000,6100,6300,6500,6900,6900,6900,6900,6900,6900,15,0,5800,5650.248933333205,4542.36919998948,6878.370899998117,65.0
1777009961,15,,Aggregated,0.000000,0.000000,5000,5300,5900,6000,6300,6500,6900,6900,6900,6900,6900,26,0,4700,3717.7819769231764,740.85180000111,6878.370899998117,82.42307692307692
1777009962,15,GET,GET /user/[email],0.000000,0.000000,1000,1100,1100,1200,1200,1200,1200,1200,1200,1200,1200,6,0,1000,999.3483833338056,740.85180000111,1208.8517999945907,148.0
1777009962,15,POST,POST /auth/login,0.000000,0.000000,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,5,0,1200,1182.5014200003352,1024.9923000083072,1229.8219999938738,56.0
1777009962,15,POST,POST /auth/signup [setup],0.000000,0.000000,5800,6000,6100,6300,6500,6900,6900,6900,6900,6900,6900,15,0,5800,5650.248933333205,4542.36919998948,6878.370899998117,65.0
1777009962,15,,Aggregated,0.000000,0.000000,5000,5300,5900,6000,6300,6500,6900,6900,6900,6900,6900,26,0,4700,3717.7819769231764,740.85180000111,6878.370899998117,82.42307692307692
1777009963,15,GET,GET /user/[email],0.600000,0.000000,970,980,1000,1000,1100,1200,1200,1200,1200,1200,1200,13,0,970,946.7303538459909,740.85180000111,1208.8517999945907,148.0
